STATUS,CONTAIN,DATE,CAPS_COUNT,WORDS,NUMBER_COUNTS,CAPS_RATIO,NUMBER_RATIO,TIME,TIME_OF_DAY,NIGHT
spam,"Bagikan rezeki-mu melalui TCASH. Hubungi *800#, pilih menu pembayaran, lalu pilih menu donasi. ",2/24/2017 13:38,1,14,1,0.071428571,0.071428571,13,DAY,FALSE
spam,Sisa kuota bonus 4G kamu 46 MB. Terus nikmati internetan di jaringan Indosat Ooredoo. Cek Kuota *123# atau http://im3.do/mc,7/17/2017 22:41,1,22,2,0.045454545,0.090909091,22,NIGHT,TRUE
ham,pak sudah di mana? saya sedikit buru2,5/9/2017 7:49,0,7,0,0,0,7,MORNING,FALSE
spam,"Ayo download aplikasi myIM3,dgn fitur Smart Data Control kamu bs hemat saat akses aplikasi & dptkan jg Penawaran Spesial dr myIM3.Info http://im3.do/mi1130 MAI1",11/30/2017 13:01,1,27,0,0.037037037,0,13,DAY,FALSE
spam,Sisa kuota bonus 4G kamu 0 MB. Terus nikmati internetan di jaringan Indosat Ooredoo. Cek Kuota *123# atau http://im3.do/mc,8/17/2017 19:37,1,22,2,0.045454545,0.090909091,19,NIGHT,TRUE
ham,Waktu Tunggu konfirmasi dari nomor +6285721812244 habis ,12/31/2017 20:28,0,7,1,0,0.142857143,20,NIGHT,TRUE
ham,Ya udah,10/29/2017 11:24,0,2,0,0,0,11,DAY,FALSE
ham,"Apakah anda yakin mendaftar paket Internet 2GB Rp45rb-30hr? Sisa kuota 24jam dari paket sebelumnya (Freedom M Rp 59rb/30hr) akan di akumulasikan, balas OK jika",11/27/2017 9:56,2,26,0,0.076923077,0,9,MORNING,FALSE
spam,"Ayo download aplikasi myIM3,dgn fitur Smart Data Control kamu bs hemat saat akses aplikasi & dptkan jg Penawaran Spesial dr myIM3.Info http://im3.do/mi1214 MAI1",12/14/2017 11:04,1,27,0,0.037037037,0,11,DAY,FALSE
ham,usage,11/14/2017 19:50,0,1,0,0,0,19,NIGHT,TRUE
ham,M  S    C  O  D  E        12  02    ,3/9/2018 15:44,0,8,2,0,0.25,15,DAY,FALSE
ham,"Dok, jadi bisa mau ngedrop kucing pagi-pagi ngga ya?",3/14/2017 21:18,0,10,0,0,0,21,NIGHT,TRUE
ham,"Registrasi paket Anda sedang diproses. Pastikan settingan APN : indosatgprs. User, passwd & proxy dikosongkan. Restart HP Anda setelah registrasi berhasil.",4/23/2018 20:14,2,19,0,0.105263158,0,20,NIGHT,TRUE
ham,"ya mba.. bsk boleh .. minta tlng utk dipuasakan dlu paginya.. atau.. kl tdk memungkinkan puasa d rmh.. pagi terakhir makan lalu kucing di taruh klinik dlu saja spy bs dikandang , siang sy kerjakan ... ",3/13/2017 11:00,0,33,0,0,0,11,DAY,FALSE
ham,Waktu Tunggu konfirmasi dari nomor +6285721812244 habis ,7/24/2017 20:30,0,7,1,0,0.142857143,20,NIGHT,TRUE
spam,PAKET BRONET 24JAM 100MB sudah aktif. Nikmati kuota 100MB berlaku di 00.00-23.59 aktif s.d 29-03-2018.Temukan PROMO menarik AXIS di aplikasi AXISnet! Info838,3/29/2018 10:26,7,26,5,0.269230769,0.192307692,10,DAY,FALSE
ham,Udh sampe ti?,9/25/2017 0:02,0,3,0,0,0,0,MORNING,FALSE
ham,Oke wait,12/26/2017 20:39,0,2,0,0,0,20,NIGHT,TRUE
ham,Pesan gojek buat go shop royal cannin ya teh? ,1/19/2018 12:29,0,9,0,0,0,12,DAY,FALSE
ham,yang depan kementrian perhubungan,9/7/2017 18:14,0,4,0,0,0,18,NIGHT,TRUE
spam,"DISKON main & makan cantik di weekend, tiket masuk Trans Studio Bandung, Kidzania, Sindu Kusuma Edupark, Kebab Baba Rafi, dll. Download AXISnet axisnet.id/app",3/24/2018 9:13,1,23,0,0.043478261,0,9,MORNING,FALSE
spam,"iRing keren cuman buat km, Via Vallen-Bojo Galak (Reff),Rp.0,1/3hr prpnjngan Rp.3190 dengan hnya bls YA lho!",3/1/2018 22:04,1,21,1,0.047619048,0.047619048,22,NIGHT,TRUE
spam,Kini kamu bisa mengatur & mengontrol penggunaan Kuota Aplikasi dgn myIM3. Ayo download aplikasi myIM3 di http://bit.ly/myim3ctl & gunakan fitur Hemat Data,10/31/2017 9:51,0,22,0,0,0,9,MORNING,FALSE
spam,Sisa kuota bonus 4G kamu 83 MB. Terus nikmati internetan di jaringan Indosat Ooredoo. Cek Kuota *123# atau http://im3.do/mc,8/16/2017 20:59,1,22,2,0.045454545,0.090909091,20,NIGHT,TRUE
ham,"29/12/2017 19:17 Pada No. Rek 378088918 ada dana keluar sebesar Rp 100.000,00. Saldo akhir: Rp 4.381.903,00.Berita: BILL PAYMENT  GOPAY CUST    NO  521514549382",12/29/2017 19:18,5,26,7,0.192307692,0.269230769,19,NIGHT,TRUE
ham,Sisa kuota Kuota Malam: 4.6 GB. Beli Extra Kuota/upgrade Fredoom Combo di *123#  atau http://im3.do/mc,11/27/2017 9:34,1,19,2,0.052631579,0.105263158,9,MORNING,FALSE
ham,"Tiket.com Thank you, we've received your payment for OrderId 43049655. Please kindly check your email in 5 minutes and check your spam folder too.",3/17/2018 11:50,0,24,2,0,0.083333333,11,DAY,FALSE
ham,Anda telah melakukan login dari perangkat baru. Apabila Anda tidak melakukannya silakan hubungi 14041.,12/11/2017 9:00,0,14,1,0,0.071428571,9,MORNING,FALSE
spam,BELI 1 GRATIS 1 untuk jenis minuman apa saja. Tukarkan SMS hari ini di Starbucks Asia Afrika Bandung. Limited Stock. T&C apply. Promo *606#,3/4/2017 17:36,3,25,3,0.12,0.12,17,DAY,FALSE
spam,"Ciee yg dpt kesempatan menang Rp 75 Juta TANPA BIAYA dr AXIS! SELAMAT ya Km bs ikutan FANTAXIS!

Balas YA ke 99220 skrg!

Info: www.axisnet.id/fantaxis",3/16/2018 17:28,6,26,2,0.230769231,0.076923077,17,DAY,FALSE
ham,Pak masih jauh ya? saya udah di depan upnormal,3/16/2017 9:13,0,9,0,0,0,9,MORNING,FALSE
spam,"Pelanggan 6285722688068, Anda masih mempunyai point yang blom ditukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *757*16# sekarang.",2/7/2018 3:11,2,24,3,0.083333333,0.125,3,MORNING,FALSE
ham,"padet, tadi keluar bandungnya yang lama sih, ini km 40 baru mulai macet",10/29/2017 21:05,0,13,1,0,0.076923077,21,NIGHT,TRUE
ham,maaaasuuuuukkkkk,12/27/2017 12:48,0,1,0,0,0,12,DAY,FALSE
ham,"Pak, saya di Bukit Permai blok B 6",3/31/2017 7:59,0,8,1,0,0.125,7,MORNING,FALSE
spam,"Nelp ke Malaysia, SG, HK,China,AS,Thai,Brunei,Korsel, &India dgn FlatCall 01016 hny Rp4rb & dpt Bonus Berlipat. Tkn 01016+Kode Negara+No telp. Info *122*2# PAI1",11/17/2017 9:28,4,29,4,0.137931034,0.137931034,9,MORNING,FALSE
ham,"27/12/2017 12:46 Pada No. Rek 378088918 ada dana masuk sebesar Rp 5.500.000,00. Saldo akhir: Rp 5.638.691,00.Berita: 046 ALGORITMA DATA  Salary Algoritma 122017",12/27/2017 12:48,2,26,8,0.076923077,0.307692308,12,DAY,FALSE
ham,"ok2 just got home, can I hv ruu address?",12/29/2017 19:04,0,9,0,0,0,19,NIGHT,TRUE
ham,De makan kucing buat nati sore hbis,2/23/2018 11:08,0,7,0,0,0,11,DAY,FALSE
spam,"Nonton film favorit di IFLIX, bebas biaya langganan utk AXISers!!Pake BRONET DAYZ 8GB Rp49.000 buat nonton, beli di *123*888# hny di JUMAT BAIK.Info838.AXIS007",1/19/2018 9:26,6,26,2,0.230769231,0.076923077,9,MORNING,FALSE
ham,"Bukit Permai, jl. Ungaran Blok B6/2, ya Pak alamatnya",4/20/2017 8:44,0,10,1,0,0.1,8,MORNING,FALSE
spam,"Pelanggan 6285722688068, Anda masih mempunyai point yang blom di tukar. Cek point anda dan tukarkan dengan PULSA dan JUTAAN hadiah. Cek di *654*9# skrg juga!",1/26/2018 23:17,2,26,3,0.076923077,0.115384615,23,NIGHT,TRUE
ham,"Sisa kuota 2.0GB+ BONUS 4G:5.0GB,STREAM ON 500.0MB(iflix&Spotify). Beli EXTRA Kuota atau upgrade FREEDOM COMBO di*123# atau im3.do/mc",2/27/2017 17:39,9,24,1,0.375,0.041666667,17,DAY,FALSE
spam,"awas ketinggalan iRing Nella Kharisma-Jaran Goyang (AT17), Rp.0,1/3hr prpnjngan Rp.3190 .Lngsung bls YA aja ya!",12/31/2017 20:29,2,19,1,0.105263158,0.052631579,20,NIGHT,TRUE
ham,Jadi bro aku sudah di stasiun,12/26/2017 13:47,0,6,0,0,0,13,DAY,FALSE
ham,Pak dijemputnya sesuai peta ya,7/21/2017 6:54,0,5,0,0,0,6,MORNING,FALSE
ham,TRF 0268977286 250000,7/10/2017 16:33,1,3,2,0.333333333,0.666666667,16,DAY,FALSE
ham,"Masih lama da, sasa jg lg kerumah dulu mau nganter ibunya dulu",12/29/2017 19:20,0,12,0,0,0,19,NIGHT,TRUE
spam,BARU! Nikmati paket internet TERBAIK untuk akses unlimited apps YouTube & NelpSMS ga habis-habis. Beli paketnya HANYA di*123# atau http://im3.do/m3,12/14/2017 19:51,3,24,1,0.125,0.041666667,19,NIGHT,TRUE
spam,Selamat datang di tarif  AXIS GAOL. GRATIS NELPON ke semua nomor AXIS dari jam 12 mlm - 5 sore SETIAP HARI. IRIT ITU AXIS.,12/28/2017 20:08,10,23,2,0.434782609,0.086956522,20,NIGHT,TRUE
ham,"Cashback up to IDR500,000 + 0% installment up to 24months with Credit Card at Selected Outlet Erafone and Urban Republic. 17Nov-3Des 2017. T&C apply. Info 14041",11/28/2017 9:50,1,27,3,0.037037037,0.111111111,9,MORNING,FALSE
ham,"10/03/2017 07:47 Pada No. Rek 378088918 ada dana keluar sebesar Rp 200.197,00. Saldo akhir: Rp 433.424,00.Berita: TRANSFER KE SMS.",3/10/2017 7:51,3,23,6,0.130434783,0.260869565,7,MORNING,FALSE
spam,Selamat! Paket internet Extra Rp 15rb kamu telah aktif dengan kuota 2 GB. Cek kuota *363#. Cek promo *929#,12/26/2017 9:06,1,19,3,0.052631579,0.157894737,9,MORNING,FALSE
spam,Mau tahu tutorial cara memakai hijab ala Selebgram? Ayo nonton videonya di *123*513*1# Tarif Rp2.000/SMS. Info: 02129451227. DSI3,3/16/2018 10:34,2,21,4,0.095238095,0.19047619,10,DAY,FALSE
ham,"Yuk,bljr Bhs Inggris dgn M-Learning bareng AXIS!

Kamu berkesempatan menang Rp25jt!

Krm MULAI ke 92340
GRATIS 3 hr pertama, selanjutnya: Rp1500/hr PF016D",1/21/2018 14:33,4,25,2,0.16,0.08,14,DAY,FALSE
ham,"Apakah anda yakin mendaftar paket Internet 2GB Rp45rb-30hr? Sisa kuota 24jam dari paket sebelumnya (Freedom M Rp 59rb/30hr) akan di akumulasikan, balas OK jika",11/27/2017 9:55,2,26,0,0.076923077,0,9,MORNING,FALSE
spam,Download aplikasi myIM3 di im3.do/myIM3 & dapatkan GRATIS YouTube & Instagram selama 3 hari. Aktifkan paket gratisnya di menu Direkomendasikan Untuk Anda.,9/1/2017 13:37,1,22,1,0.045454545,0.045454545,13,DAY,FALSE
ham,Bu gi nya d mana bca apa west mall,7/18/2017 19:15,0,9,0,0,0,19,NIGHT,TRUE
spam,Bonus IM3PUAS : Masih ada Bonus GRATIS 1000 SMS ke Indosat dan 49 SMS ke operator lain berlaku skrg s.d jam 23.59. Ayo pakai terus GRATIS SMSnya,3/21/2018 12:45,5,26,3,0.192307692,0.115384615,12,DAY,FALSE
spam,"Tinggal 5jam lagi! 
AXIS Bronet 24jam 2GB CUMA 15rb,30hr (Norm 30,900). Dapetin skrg juga dgn Balas YA! Internetan ASYIK tetep IRIT.
Info838 AND01B",2/14/2018 16:41,7,24,0,0.291666667,0,16,DAY,FALSE
ham,"17/08/2017 13:11 Top Up Tapcash No.Kartu:082240984460 sebesar RP.20000.Utk diproses, Reply dgn PIN ke6&2",8/17/2017 13:11,2,20,8,0.1,0.4,13,DAY,FALSE
ham,"pak nanti saya ke arah pombensin ya, nanti ketemu di mana?",4/29/2017 17:07,0,11,0,0,0,17,DAY,FALSE
ham,Cancel aj ya nona ini kejauhan muter bliknya. Gojek,12/5/2017 21:40,0,9,0,0,0,21,NIGHT,TRUE
spam,"Dptkan HARGA PROMO utk pembelian/prpanjangan FreedomCombo & Freedom Internet Plus. Kuota ROLLOVER utk beli paket dgn harga yg sama/lbh besar, beli di *123# PAI5",8/9/2017 16:19,4,25,1,0.16,0.04,16,DAY,FALSE
spam,Mau dapat GRATIS Youtube & Instagram selama 3 hari? Download aplikasi myIM3 di im3.do/myIM3 dan aktifkan paketnya di menu Direkomendasikan Untuk Anda skrg.,7/23/2017 8:44,1,24,1,0.041666667,0.041666667,8,MORNING,FALSE
ham,"05/01/2018 16:54 Pada No. Rek 378088918 ada dana masuk sebesar Rp 1.714.737,00. Saldo akhir: Rp 4.572.794,00.Berita: 014 ALGORITMA DATA  Team Bonus.",1/5/2018 16:57,2,25,7,0.08,0.28,16,DAY,FALSE
ham,"28/11/2017 21:08 Informasi saldo rekening 378088918.Utk diproses,reply sms ini,ketik digit ke-4&5 PIN Anda",11/28/2017 21:08,1,21,8,0.047619048,0.380952381,21,NIGHT,TRUE
spam,"Hanya dengan Isi ulang akumulasi 150rb sebelum 24 Febuari 2017, Dapatkan GRATIS 3GB berlaku 30 hari. Mau? Ayo buruan isi ulang sekarang juga.",2/21/2017 20:53,2,23,3,0.086956522,0.130434783,20,NIGHT,TRUE
spam,"Ayo download aplikasi myIM3,dgn fitur Smart Data Control kamu bs hemat saat akses aplikasi & dptkan jg Penawaran Spesial dr myIM3.Info http://im3.do/mi1206 CMI4",12/6/2017 19:42,1,27,0,0.037037037,0,19,NIGHT,TRUE
ham,Makaroni pedas asinnya jd 5 ya,3/12/2017 13:28,0,6,1,0,0.166666667,13,DAY,FALSE
ham,"06/12/2017 20:58 Pada No. Rek 378088918 ada dana masuk sebesar Rp 100.000,00. Saldo akhir: Rp 1.990.985,00.Berita: KOR TARIK TUNAI ATM.",12/6/2017 21:01,4,24,6,0.166666667,0.25,21,NIGHT,TRUE
ham,Ya,9/23/2017 21:39,0,1,0,0,0,21,NIGHT,TRUE
ham,"Maaf, pulsa kamu tdk mencukupi. Isi pulsa & aktifkan FreedomCombo utk nikmati BONUS KUOTA s.d 10GB di semua jaringan.Info *123# atau http://im3.do/NV",11/27/2017 9:56,4,24,1,0.166666667,0.041666667,9,MORNING,FALSE
ham,"Sisa kuota Kuota Utama: 19.8 MB, Kuota Malam 01.00-06.00: 9.8 GB. Beli EXTRA Kuota atau upgrade paket sekarang! Tekan *123# atau im3.do/mc",12/25/2017 12:20,3,25,5,0.12,0.2,12,DAY,FALSE
spam,SPESIAL utk kamu pelanggan IM3Ooredoo! TANPA BIAYA LANGGANAN bisa nonton ratusan film box office & serial TV di iflix. Klik di http://im3.do/iflix CVI1,8/3/2017 9:35,6,25,0,0.24,0,9,MORNING,FALSE
ham,Saya sudahdi depan lobby,11/6/2017 8:50,0,4,0,0,0,8,MORNING,FALSE
ham,"09/03/2017 19:17 Pada No. Rek 378088918 ada dana keluar sebesar Rp 100.000,00. Saldo akhir: Rp 633.621,00.Berita: PENARIKAN TUNAI.",3/9/2017 19:21,2,22,6,0.090909091,0.272727273,19,NIGHT,TRUE
ham,ada aluminum foil ngga? yang kertas buat ngebakar2 itu,4/26/2017 20:18,0,9,0,0,0,20,NIGHT,TRUE
ham,"083899758489 atas nama Aldwin nanti Pak, alamat nya di jalan terusan cigadung timur no. 99, kompleks lembah tubagus ismail,  nanti ditanya lg aja arah jalannya kalau ga ketemu",3/22/2018 13:02,0,28,2,0,0.071428571,13,DAY,FALSE
ham,ada saldo gopay ga kak? can i borrow 25k for phone credit? imma transfer to your account later,10/18/2017 14:44,0,18,0,0,0,14,DAY,FALSE
spam,Gratis biaya admin untuk pembayaran BPJS menggunakan TCASH!  Akses melalui *800#. Syarat & ketentuan berlaku. Info klik tsel.me/tappromo,2/27/2017 8:06,2,18,1,0.111111111,0.055555556,8,MORNING,FALSE
ham,Beliin kuaci de,10/15/2017 20:35,0,3,0,0,0,20,NIGHT,TRUE
ham,"pak, saya di bukit permai ya",6/8/2017 7:52,0,6,0,0,0,7,MORNING,FALSE
ham,"ok mas, makasiih",6/12/2017 14:55,0,3,0,0,0,14,DAY,FALSE
ham,"Go Mobile
26Dec17 08:36
Ref 12260021173987
Trf Dana ke
800142351700
GOPAY tiara
IDR 100,000.00
SUKSES",12/26/2017 8:36,3,16,4,0.1875,0.25,8,MORNING,FALSE
